# BBN upper bound on m_chi * Y_chi (Kawasaki, Kohri, Moroi, Takaesu 2017 -- arXiv:1709.01211)
# Injection channel: uu_bar
# Parent particle mass: 1000 TeV = 1000000 GeV
# Columns: log10(tau/s)   m_chi*Y_chi [GeV]
1.6914630527e+00   2.7580204840e-08
1.4032050648e+00   2.9817298674e-08
1.1389850628e+00   3.2229974831e-08
8.9900089030e-01   3.7574538841e-08
6.3497873182e-01   4.3813352860e-08
3.9509348106e-01   5.3051877934e-08
2.2732218815e-01   6.4203340045e-08
5.9649816995e-02   8.0700283765e-08
-1.0772578890e-01   1.1365125630e-07
-2.2712434464e-01   1.5404746829e-07
-3.4642397863e-01   2.1686799753e-07
-4.4148778316e-01   3.2928988884e-07
-5.3665050945e-01   4.8139407637e-07
-6.3151647047e-01   7.8850568230e-07
