# BBN upper bound on m_chi * Y_chi (Kawasaki, Kohri, Moroi, Takaesu 2017 -- arXiv:1709.01211)
# Injection channel: uu_bar
# Parent particle mass: 1 TeV = 1000 GeV
# Columns: log10(tau/s)   m_chi*Y_chi [GeV]
1.7031358196e+00   2.4151599029e-10
1.4389158176e+00   2.6105833307e-10
1.0786427936e+00   2.9329614898e-10
8.1462063508e-01   3.4199455440e-10
6.2271243446e-01   3.9856082464e-10
3.5888811950e-01   5.0133566139e-10
1.6717776239e-01   6.3026788089e-10
-2.4433672965e-02   8.2296683269e-10
-1.4383222871e-01   1.1154822321e-09
-3.3494905530e-01   1.7604460178e-09
-4.5375408052e-01   2.9954806257e-09
-5.2507666436e-01   4.0587150757e-09
-6.1994262538e-01   6.6480250943e-09
-6.9106736571e-01   9.7170818096e-09
-7.6189534079e-01   1.5913320408e-08
-8.0858640815e-01   2.7062455374e-08
-8.5567316253e-01   3.9548614102e-08
-9.2689682461e-01   5.5656244536e-08
-9.7348897022e-01   9.8306190865e-08
-1.0203778811e+00   1.5497658956e-07
-1.0190918983e+00   2.5366096212e-07
-1.0418439015e+00   4.1526019985e-07
-1.0642002176e+00   7.9109620405e-07
