# BBN upper bound on m_chi * Y_chi (Kawasaki, Kohri, Moroi, Takaesu 2017 -- arXiv:1709.01211)
# Injection channel: bb_bar
# Parent particle mass: 1000 TeV = 1000000 GeV
# Columns: log10(tau/s)   m_chi*Y_chi [GeV]
1.6507177033e+00   2.6808868745e-08
1.4114832536e+00   2.8850302817e-08
1.0526315789e+00   3.2207588380e-08
6.9377990431e-01   3.8763153385e-08
4.7846889952e-01   4.6703421307e-08
2.6315789474e-01   5.6270178540e-08
7.1770334928e-02   7.3103651181e-08
-7.1770334928e-02   9.5007103639e-08
-2.3923444976e-01   1.3818934649e-07
-3.8277511962e-01   2.0103476423e-07
-4.7846889952e-01   2.9256609940e-07
-5.7416267943e-01   4.2577174571e-07
-6.9377990431e-01   7.2004175193e-07
