# BBN upper bound on m_chi * Y_chi (Kawasaki, Kohri, Moroi, Takaesu 2017 -- arXiv:1709.01211)
# Injection channel: bb_bar
# Parent particle mass: 0.1 TeV = 100 GeV
# Columns: log10(tau/s)   m_chi*Y_chi [GeV]
1.6507177033e+00   7.9007122279e-11
1.3636363636e+00   8.8248722441e-11
1.0047846890e+00   1.0229226352e-10
7.1770334928e-01   1.1004199152e-10
5.0239234450e-01   1.2769135857e-10
2.8708133971e-01   1.5384773415e-10
1.1961722488e-01   1.9253224126e-10
-2.3923444976e-02   2.4098718347e-10
-1.9138755981e-01   3.3758714428e-10
-3.3492822967e-01   4.5554306603e-10
-4.3062200957e-01   6.6295229307e-10
-5.2631578947e-01   9.6479515476e-10
-5.9808612440e-01   1.3525070487e-09
-6.9377990431e-01   2.1220002709e-09
-7.4162679426e-01   3.2076061465e-09
-8.3732057416e-01   6.7982820649e-09
-8.3732057416e-01   9.1835675470e-09
-9.3301435407e-01   1.4408451949e-08
-9.8086124402e-01   1.9456885926e-08
-1.0047846890e+00   2.7285630322e-08
-1.0287081340e+00   6.2379163545e-08
-1.0526315789e+00   9.7921892176e-08
-1.1722488038e+00   1.4248020003e-07
-1.2918660287e+00   1.9229862292e-07
-1.3157894737e+00   3.1343172639e-07
-1.3157894737e+00   5.1096111723e-07
