# BBN upper bound on m_chi * Y_chi (Kawasaki, Kohri, Moroi, Takaesu 2017 -- arXiv:1709.01211)
# Injection channel: bb_bar
# Parent particle mass: 10 TeV = 10000 GeV
# Columns: log10(tau/s)   m_chi*Y_chi [GeV]
1.6507177033e+00   1.1398558094e-09
1.3875598086e+00   1.2264326031e-09
1.1004784689e+00   1.3698905524e-09
8.1339712919e-01   1.4736743459e-09
5.7416267943e-01   1.7752233540e-09
3.5885167464e-01   2.1388611858e-09
1.4354066986e-01   2.7782111969e-09
-7.1770334928e-02   3.7469202176e-09
-2.3923444976e-01   5.4499551761e-09
-3.8277511962e-01   8.2322028411e-09
-4.5454545455e-01   1.1114603021e-08
-5.7416267943e-01   1.8102904768e-08
-6.6985645933e-01   2.8402342789e-08
-7.6555023923e-01   4.8041120001e-08
-8.1339712919e-01   8.4402410126e-08
-9.0909090909e-01   1.3242218392e-07
-9.8086124402e-01   1.8563726846e-07
-9.8086124402e-01   3.1422200683e-07
-1.0287081340e+00   5.1206519889e-07
-1.0526315789e+00   8.9979816472e-07
