#95% C.L.
# mDM [GeV]  <\sigma v> [1e-26 cm^3/s]
38.799890035738386  1.298902856571615
40.21792917301877  1.3266688326293958
41.265088846125  1.3626821283083004
42.189288481243594  1.3906480393871994
43.23569839802064  1.4388073875990306
44.46804788443756  1.474745707645016
45.51370804488541  1.5350511083897738
46.560117961662456  1.5832104566016048
47.60602804088671  1.6394671731687207
48.40576812535925  1.6836778047134686
49.204508534726216  1.7440831729687856
49.94151900632294  1.8045135331017426
50.492090070727  1.8852622897558298
50.61155124584509  1.9499912528428265
50.54582260765251  2.014795191562743
49.987004223627316  2.06765301277085
49.18276560117962  2.096318696423663
48.06962737110438  2.129158023642317
46.89675855347012  2.129632869317472
45.8475995301527  2.1260090470597057
44.73671056906505  2.1224102166795795
43.6265713643066  2.106665333766526
42.763851748181835  2.0827231149876293
41.90113213205708  2.0587808962087326
40.91495264039187  2.034888661185115
39.867293129732836  2.0069727338614953
39.06680328893109  1.9749081548496743
38.08137355359508  1.93886986729313
37.03396396171244  1.9069052557918678
35.86384425061855  1.8628445755129586
35.249293979456674  1.8185589683352912
34.326593856996475  1.7663009521905384
33.4658735910829  1.7099692599905032
32.60515332516932  1.6536375677904682
31.99110289156024  1.6012545922575165
31.685452228025888  1.552795341514008
31.566990728013394  1.4718716417164424
31.511258840876714  1.3747282133306675
31.761927373603577  1.3138979831554747
32.381476020293405  1.2772099067802967
33.30767500562317  1.272786344438058
34.23437382850573  1.2602654137405347
35.34576262714618  1.2557668757653766
36.33344163146977  1.2553670057231403
37.69025066853273  1.2750606053032767
#68% C.L.
41.870642041336566  1.552720365881089
42.671131882138305  1.58478494489291
43.65706145502711  1.6127258640941697
44.27211156374178  1.6489141029165526
44.88691175368005  1.6891510259165774
45.31702196786044  1.7213655561942374
45.74688226326443  1.7576287706495393
46.23672306500387  1.8222077824706975
46.354434808687174  1.91527753480119
45.73463624322095  1.9560142953540103
44.80718766400919  1.9806812785844603
44.00419863544348  1.989103541349062
43.0787494064429  1.9813810511583738
42.40121960362882  1.9573638567465577
41.785419738584956  1.9333216704571017
40.55207057706245  1.9135780871216859
39.751330817484316  1.885562192287507
38.827880938694925  1.8454502286756809
38.27381101142129  1.821383050508585
36.672831329817804  1.7572538924849426
35.811111388798636  1.7171169369954769
35.50571064404068  1.664609002074326
35.20030989928273  1.6121010671531752
35.08034888661185  1.5554694724214635
35.39324719466173  1.486516882013346
35.95081598480493  1.4539024816934496
36.876765051358305  1.4535276035288531
37.61677454827181  1.465373753530103
38.72741359058306  1.4730212680878716
39.71484267613025  1.476670082223278
40.88496238722415  1.520730762502187
