#95% C.L.
# mDM [GeV]  <\sigma v> [1e-26 cm^3/s]
42.62989528403269  1.2528178342038845
43.73878489490915  1.2888061380051488
44.846424911903625  1.3450378626946247
45.46172493939469  1.3771774173393654
46.20023492364981  1.4133156724064686
47.246145002874066  1.4695723889735839
48.045885087346605  1.5137830205183318
48.78314547771974  1.5701646964736466
49.70459600629795  1.642666133506611
50.071976607602515  1.6911003923724794
50.68377777222402  1.7799215255042116
50.92719866043535  1.8365031364806443
50.85997050958438  1.9255991802664136
50.05323269937269  1.9947517056956494
48.817384350086215  2.015494964136656
47.58203583835253  2.028140854222378
46.16324694474296  2.012520930697524
44.86816784545022  1.9928023392397476
43.634318846374924  1.9811561242596158
42.83457876190238  1.9369454927148682
41.7264389073551  1.8888111363806765
40.61754929647864  1.852822832579412
39.44717966660835  1.8128108364781448
38.52347986904256  1.776747557043961
37.53904980881213  1.7245145327768479
36.49214005448229  1.6844525529203012
35.63067003223952  1.6402669132531928
34.64773948466748  1.5637417839202261
33.7875190563067  1.4993127233649066
32.98902856571614  1.4348586709319473
32.37547796965986  1.3743783270437109
32.06982730612551  1.3259190763002024
31.888886112013594  1.2571664209132036
32.141304076175246  1.1679954014945149
33.37765226301452  1.1391547746982233
34.181640966685826  1.1145377752230528
35.046609851798166  1.1020418364031692
36.03453877489815  1.0975932821832912
37.02171794166896  1.1052907804963388
38.50198685427236  1.124934396321196
39.673106240471846  1.1528003398895357
40.536075775373  1.172693874490791
41.64471546747306  1.212730862469698
#68% C.L.
38.48999075300527  1.3192712368480248
39.35445980056481  1.3148726663834256
39.91027915927323  1.3105990553070255
40.40286906755304  1.330642541174119
40.95668907605028  1.358758403518857
41.88063879239247  1.390772998775398
42.98902856571614  1.4348586709319477
43.8517481818409  1.4588008897108444
45.14257866193487  1.5473471121885392
46.186989228500735  1.6278959338215087
46.86176992477445  1.6964486541873898
47.29088046384925  1.7448579211756183
47.286631844650486  1.8136855521955368
45.98805388248819  1.8506485392247525
44.629745332766845  1.8552470447104694
43.76502636643091  1.8636942993527106
42.842076325194306  1.8154849673856002
41.979856546622344  1.7834453802514185
41.05565691150376  1.7554794691725193
40.007747482068325  1.7316122260265416
39.2699872541424  1.6833279184265115
38.40876715067603  1.6350935945817613
37.670757003973705  1.5908579711593736
36.810286656836524  1.5304775947816964
36.07152675380501  1.4983880238922354
35.82885562192288  1.4296603603828757
35.77087446579861  1.3689550895958815
36.20623297428335  1.3161472521430535
37.194161897383346  1.311698697923175
