      0.31316298  2.93547e-07  2.18979e-07  3.71940e-07
      0.40700436  3.03541e-07  2.31988e-07  3.73795e-07
      0.52896595  3.44278e-07  2.78326e-07  3.98745e-07
      0.68747413  4.74500e-07  4.34974e-07  5.35360e-07
      0.89348024  5.17089e-07  4.76989e-07  5.62190e-07
       1.1612176  7.40857e-07  6.98179e-07  7.80511e-07
       1.5091841  7.04469e-07  6.72958e-07  7.55595e-07
       1.9614211  6.85801e-07  6.47734e-07  7.27551e-07
       2.5491738  5.84270e-07  5.48422e-07  6.34052e-07
       3.3130507  6.58966e-07  6.09987e-07  7.00636e-07
       4.3058286  6.00483e-07  5.46147e-07  6.44608e-07
       7.2730064  3.53133e-07  3.22508e-07  3.86609e-07
       15.966137  2.12337e-07  1.81643e-07  2.50017e-07
       35.049816  1.30566e-07  9.74318e-08  1.63220e-07
