      0.31316298  2.14570e-07  1.25062e-07  2.80181e-07
      0.40700436  1.82925e-07  1.30463e-07  2.79617e-07
      0.52896595  2.17426e-07  1.60983e-07  2.85441e-07
      0.68747413  4.07786e-07  3.54600e-07  4.54198e-07
      0.89348024  4.53970e-07  4.16722e-07  5.03594e-07
       1.1612176  7.03865e-07  6.54899e-07  7.35860e-07
       1.5091841  6.83051e-07  6.44785e-07  7.25060e-07
       1.9614211  6.59995e-07  6.20726e-07  7.04909e-07
       2.5491738  5.69743e-07  5.29386e-07  6.12190e-07
       3.3130507  6.35410e-07  5.87969e-07  6.79459e-07
       4.3058286  5.74528e-07  5.27041e-07  6.25829e-07
       7.2730064  3.39331e-07  3.05671e-07  3.69969e-07
       15.966137  2.13033e-07  1.76850e-07  2.44275e-07
       35.049816  1.20362e-07  9.52908e-08  1.61620e-07
