      0.31316298  7.40658e-10  7.40658e-10  7.74945e-09
      0.40700436  1.87615e-10  1.87615e-10  6.42348e-09
      0.52896595  7.63862e-09  6.57200e-10  5.79215e-08
      0.68747413  2.50184e-07  1.95310e-07  2.92042e-07
      0.89348024  3.61940e-07  3.17769e-07  3.95837e-07
       1.1612176  7.20307e-07  6.87447e-07  7.61087e-07
       1.5091841  8.41929e-07  8.00420e-07  8.74284e-07
       1.9614211  8.62618e-07  8.25086e-07  8.99428e-07
       2.5491738  7.95937e-07  7.63322e-07  8.42205e-07
       3.3130507  8.25224e-07  7.83826e-07  8.70330e-07
       4.3058286  7.85353e-07  7.33247e-07  8.25276e-07
       7.2730064  4.59873e-07  4.30731e-07  4.90054e-07
       15.966137  2.92180e-07  2.58926e-07  3.25405e-07
       35.049816  1.68864e-07  1.36858e-07  1.99601e-07
