      0.31316298  3.19491e-07  2.48572e-07  3.97191e-07
      0.40700436  2.71339e-07  2.03771e-07  3.42182e-07
      0.52896595  3.08065e-07  2.45268e-07  3.61409e-07
      0.68747413  4.28343e-07  3.86829e-07  4.82141e-07
      0.89348024  4.86172e-07  4.38627e-07  5.21492e-07
       1.1612176  7.34793e-07  6.98806e-07  7.78798e-07
       1.5091841  7.49614e-07  6.99853e-07  7.80032e-07
       1.9614211  7.38372e-07  6.93933e-07  7.75667e-07
       2.5491738  6.36895e-07  6.00723e-07  6.82935e-07
       3.3130507  7.04854e-07  6.64071e-07  7.56527e-07
       4.3058286  6.57765e-07  6.05163e-07  7.00491e-07
       7.2730064  3.84012e-07  3.59709e-07  4.21769e-07
       15.966137  2.33130e-07  2.02870e-07  2.70645e-07
       35.049816  1.39817e-07  1.07730e-07  1.75666e-07
