      0.31316298  2.73033e-07  2.17051e-07  3.42575e-07
      0.40700436  3.42861e-07  2.89561e-07  4.07099e-07
      0.52896595  4.82062e-07  4.32504e-07  5.37018e-07
      0.68747413  5.15096e-07  4.71126e-07  5.59167e-07
      0.89348024  5.26660e-07  4.86789e-07  5.65017e-07
       1.1612176  7.93137e-07  7.61487e-07  8.36077e-07
       1.5091841  8.65976e-07  8.29645e-07  9.01767e-07
       1.9614211  8.69962e-07  8.24807e-07  8.99597e-07
       2.5491738  7.89916e-07  7.42344e-07  8.20962e-07
       3.3130507  7.94340e-07  7.53191e-07  8.35195e-07
       4.3058286  7.36305e-07  6.88576e-07  7.80511e-07
       7.2730064  4.51025e-07  4.19819e-07  4.79441e-07
       15.966137  2.96043e-07  2.65400e-07  3.30843e-07
       35.049816  1.82650e-07  1.45276e-07  2.09564e-07
