      0.31316298  8.48776e-10  8.48776e-10  4.86924e-08
      0.40700436  2.30600e-08  1.04117e-09  9.60852e-08
      0.52896595  9.79043e-08  3.86831e-08  1.63461e-07
      0.68747413  1.89822e-07  1.37678e-07  2.45134e-07
      0.89348024  1.74538e-07  1.33697e-07  2.21961e-07
       1.1612176  5.03988e-07  4.57245e-07  5.42504e-07
       1.5091841  5.82680e-07  5.44313e-07  6.26677e-07
       1.9614211  6.32653e-07  5.85844e-07  6.68793e-07
       2.5491738  5.90249e-07  5.51036e-07  6.36263e-07
       3.3130507  6.46715e-07  6.07212e-07  6.99917e-07
       4.3058286  6.33544e-07  5.83296e-07  6.78149e-07
       7.2730064  3.98354e-07  3.69105e-07  4.31607e-07
       15.966137  2.77610e-07  2.45802e-07  3.13779e-07
       35.049816  1.76003e-07  1.35801e-07  1.99422e-07
