      0.31316298  4.38411e-10  4.38411e-10  5.68444e-09
      0.40700436  4.27800e-10  4.27800e-10  7.01033e-09
      0.52896595  5.44864e-10  5.44864e-10  2.04056e-08
      0.68747413  2.46241e-07  2.02473e-07  2.88833e-07
      0.89348024  4.93591e-07  4.59559e-07  5.34318e-07
       1.1612176  8.21371e-07  7.82918e-07  8.54620e-07
       1.5091841  9.07469e-07  8.69450e-07  9.40179e-07
       1.9614211  9.26178e-07  8.81369e-07  9.55389e-07
       2.5491738  8.51499e-07  8.11143e-07  8.88629e-07
       3.3130507  8.66670e-07  8.22126e-07  9.04785e-07
       4.3058286  8.10803e-07  7.64983e-07  8.55949e-07
       7.2730064  4.75213e-07  4.48567e-07  5.06459e-07
       15.966137  2.92017e-07  2.61149e-07  3.26804e-07
       35.049816  1.76520e-07  1.39751e-07  2.01277e-07
