      0.31316298  2.14972e-07  1.67279e-07  2.73605e-07
      0.40700436  4.41151e-07  3.85063e-07  5.04095e-07
      0.52896595  6.12159e-07  5.74011e-07  6.77568e-07
      0.68747413  7.40033e-07  7.03173e-07  7.89245e-07
      0.89348024  7.89199e-07  7.49794e-07  8.25633e-07
       1.1612176  1.00452e-06  9.64926e-07  1.03681e-06
       1.5091841  1.03498e-06  9.95300e-07  1.06836e-06
       1.9614211  9.97487e-07  9.55154e-07  1.03071e-06
       2.5491738  8.91715e-07  8.56980e-07  9.34697e-07
       3.3130507  9.02337e-07  8.50435e-07  9.36464e-07
       4.3058286  8.29176e-07  7.76927e-07  8.70133e-07
       7.2730064  4.94563e-07  4.59111e-07  5.17174e-07
       15.966137  2.95628e-07  2.66684e-07  3.31603e-07
       35.049816  1.73277e-07  1.44657e-07  2.06327e-07
