      0.31316298  3.57329e-07  2.71300e-07  4.24969e-07
      0.40700436  4.59145e-07  3.92266e-07  5.26237e-07
      0.52896595  5.53198e-07  4.81011e-07  6.07363e-07
      0.68747413  6.23199e-07  5.72472e-07  6.70822e-07
      0.89348024  5.75722e-07  5.28324e-07  6.19156e-07
       1.1612176  7.71149e-07  7.24206e-07  8.08677e-07
       1.5091841  7.31067e-07  6.90182e-07  7.73055e-07
       1.9614211  7.37096e-07  6.88687e-07  7.73603e-07
       2.5491738  6.51607e-07  6.05288e-07  6.93998e-07
       3.3130507  7.10450e-07  6.59272e-07  7.52752e-07
       4.3058286  6.62288e-07  6.00706e-07  6.96433e-07
       7.2730064  4.01494e-07  3.65176e-07  4.28909e-07
       15.966137  2.45406e-07  2.10622e-07  2.79899e-07
       35.049816  1.47932e-07  1.11424e-07  1.78801e-07
