      0.31316298  3.60826e-07  2.78372e-07  4.27979e-07
      0.40700436  3.33593e-07  2.71565e-07  4.12391e-07
      0.52896595  3.84405e-07  3.30869e-07  4.47085e-07
      0.68747413  5.12681e-07  4.71016e-07  5.65653e-07
      0.89348024  5.71003e-07  5.34433e-07  6.19830e-07
       1.1612176  8.34528e-07  7.96591e-07  8.76946e-07
       1.5091841  8.47476e-07  8.05627e-07  8.86014e-07
       1.9614211  8.52557e-07  8.10535e-07  8.90658e-07
       2.5491738  7.57660e-07  7.14271e-07  7.97874e-07
       3.3130507  8.09554e-07  7.59149e-07  8.52196e-07
       4.3058286  7.45277e-07  6.86701e-07  7.86049e-07
       7.2730064  4.55201e-07  4.24832e-07  4.88206e-07
       15.966137  2.72259e-07  2.40050e-07  3.08225e-07
       35.049816  1.56318e-07  1.21535e-07  1.88765e-07
