      0.31316298  2.28609e-07  1.60120e-07  2.80240e-07
      0.40700436  3.80726e-07  3.27051e-07  4.49155e-07
      0.52896595  5.77260e-07  5.27920e-07  6.31844e-07
      0.68747413  6.57418e-07  6.18603e-07  7.03789e-07
      0.89348024  6.95053e-07  6.57612e-07  7.34269e-07
       1.1612176  9.41829e-07  9.10626e-07  9.82094e-07
       1.5091841  9.94727e-07  9.61588e-07  1.03388e-06
       1.9614211  9.66680e-07  9.29281e-07  1.00554e-06
       2.5491738  8.76053e-07  8.42603e-07  9.19801e-07
       3.3130507  8.87918e-07  8.37309e-07  9.24682e-07
       4.3058286  8.20427e-07  7.69146e-07  8.59757e-07
       7.2730064  4.78343e-07  4.50603e-07  5.09156e-07
       15.966137  2.94257e-07  2.64325e-07  3.29792e-07
       35.049816  1.84811e-07  1.43293e-07  2.06874e-07
