      0.31316298  2.38452e-07  1.58852e-07  3.20251e-07
      0.40700436  3.41089e-07  2.60460e-07  4.04686e-07
      0.52896595  4.12342e-07  3.51382e-07  4.81882e-07
      0.68747413  5.24152e-07  4.65553e-07  5.68667e-07
      0.89348024  5.00720e-07  4.51162e-07  5.40402e-07
       1.1612176  7.27153e-07  6.79975e-07  7.61633e-07
       1.5091841  7.23405e-07  6.85696e-07  7.64430e-07
       1.9614211  7.42480e-07  6.99331e-07  7.82118e-07
       2.5491738  6.67643e-07  6.33322e-07  7.16740e-07
       3.3130507  7.30432e-07  6.79853e-07  7.69516e-07
       4.3058286  6.89356e-07  6.35369e-07  7.32569e-07
       7.2730064  4.27766e-07  4.07389e-07  4.68324e-07
       15.966137  2.92710e-07  2.54045e-07  3.21296e-07
       35.049816  1.71437e-07  1.38451e-07  2.01443e-07
