#E(GeV)	E^2*dPhi/dE(GeV/cm^2/s/sr)
0.31316298	6.71765e-8
0.40700436	6.765600000000001e-8
0.52896595	5.6026500000000015e-8
0.68747413	4.702099999999998e-8
0.89348024	3.8701e-8
1.1612176	3.8039000000000014e-8
1.5091841	3.577050000000002e-8
1.9614211	3.932000000000001e-8
2.5491738	3.838450000000002e-8
3.3130507	4.275749999999998e-8
4.3058286	4.647550000000001e-8
7.2730064	2.9538999999999984e-8
15.966137	3.3305999999999994e-8
35.049816	3.037600000000001e-8
